Datei,Herkunft,Datierung,Übersetzung,Epoche
Quellenstellen zur Kultpraxis_Amazonen - Serpot und Petechons,Fajjum,römische Zeit,das Werk der Isis der Großen der Gottesmutter der großen Göttin Sie ist wahrhaftig mit uns Sie ist unter uns erschienen zufrieden mit ihnen war soll sein Isis die große Göttin Seid froh daß wörtl indem sie Festsetzungen machten mit den Göttern die sie mit ihnen aufstellten Der Uräus er ist wieder mit ihnen ausgestellt Weihrauch gebären ihnen Man setzte seine Säulen und seine Sistrumsgesicht zum Boden Hilf mir Isis meine Herrin große Göttin und du Osiris großer Gott Ihr seht nicht mit mir dh wie ich die das Aufschlagen des Lagers das dieses zahllose Heer macht Hilf mir o Isis du große Göttin und du Osiris großer Gott und ihr ihr großen Götter die böse Schlange von Ägypter sic - wo Seine Götter konnten ihm nicht widerstehen Ihr soll keinen bösen Blick haben im Kampfe Osiris der große Gott schöner Stier unser schöner Kampfstier Nicht wird er uns verlassen Isis die große Göttin ordnete an das Heer der Frauen Die die standen um zu kämpfen deren Kampfplätze ließ sie vor ihnen Ruheplätze sein Das Wüten eines Raubvogels unter den Vögeln war das was Sarpot unter den Assyrern tat oä Das Ermorden des Apophis war es was Sarpot tat damit ihr die Art des Glücks erkennt Das Heer der Frauen - ihr werdet ihnen bereiten oä einen bösen Tod der qualvoll ist für sie indem er wie ein brüllender Löwe war wie ein kraftstrotzender Stier Hilf mir meine Herrin Isis große Göttin Du wirst dh sollst mich vor dieser bösen ägyptischen Schlange wörtl Schlange von Ägypter retten Bei Isis der großen Göttin der Herrin des Landes der Frauen Ich bin es die sich gürten wird indem sie oä heute zum Platz des Kampfes gegen diese böse ägyptische Schlange geht Sie nahmen sich den Tod zum Freund Sie nahmen sich das Leben zum Feind Zweikampf Schön waren ihre Schläge Täuschend waren ihre Hiebe Arbeit Sie flogen zum Himmel wie die Geier Sie kamen herunter zu Boden wie Sie begannen den Angriff wie die Bes-Götter Sie machten wie der Sohn des Sobek Bei meiner Herrin und Königin Isis der Großen Gottesmutter Schicksal des Kampfes Sie war außer sich wörtl sie fand keinen Ort auf Erden an dem sie war wegen der großen Liebe die in sie eingedrungen war Sobald der Fürst Petechons seinerseits sie sah war er außer sich wörtl er fand nicht einen Ort der Erde an dem er war Verderben der bösen ägyptischen Schlange halbgedecktes Gebäude des ganzen Landes - Fest in ihm indem Göttin die Königin des ganzen Landes Sie kann nicht hinausgehen bzw pflegt nicht hinauszugehen um zu feiern halbgedecktes Gebäude - Wasser und Weihrauch zur Reinigung hinaus um zu machen Er ein Hauseinen Ort des Rufens vor den Göttern Der Fürst Petechons versank in Schlaf Er sah sich im Traum mit den Worten Du bist hier du Was für ein Gott ist in dir Was tatest du Was ist das Isis die große Göttin indem du in bist Er kennt nicht die Stunde oder ein Unbekannter Hör auf Geh zu diesem halbgedeckten Gebäude Mache Trankopfer dich behüten dich außerhalb des Unglücks sie Objekt Plural verfluchen indem er nicht zu pflegt Isis die große Göttin und Osiris der große Gott in ihm guter Fürst Inaros mein HerrVater oä legen Sowie Sarpot diese Worte hörte das große Wunder der Erde lange Zeit Sie hörte den Namen des guten Fürsten Inaros und sprach wörtl indem sie sagte Es gibt keinen Gott mehr auf demr von Ägypten dem bLandb seiner Leute Was ist denn der Nutzen eines Ausländers wenn wir in den sind Wer sterben wird Feuer - wessen Vater und Mutter sehr alt sind der sie auf ein Festungsbollwerk hinabgehen lassen das Vieh nicht dafür Sie bringen Binden Byssos Gold Salböl für den Mann der in Ägypten gestorben ist wie für einen Gott Was ist mit ihnen Wird nicht auf Erden wieviel mehr also für den guten Fürsten Inaros Wir pflegten es zu hören daß er ein Sohn des Königs des Landes Osiris Onnophris Remaacheru ist Sie Sarpot ließ Rinder Vögel erstklassige Myrrhe jeglichen wohlduftenden Weihrauch vor den Fürsten Petechons bringen Er machte ein großes Opfer Brandopfer Trankopfer indem sie die Opfer durch ihn das größte Wunder der Erde waren Lange währten ihre Segnungen des Gottesbas des Osiris Königs Inaros Sarpot sprach zu ihm Du bist für mich wie ein Gott o Ägypter Wer ist es der dich auch hierher zu uns gebracht hat um uns kein Leid anzutun und um unserer Stadt nichts Böses anzutun Sowie er Sarpot erblickte war er ganz außer sich wörtl fand er nicht den Ort auf Erden an dem er war der große Agathos Daimon von Indien um nicht zuzulassen daß sich zurückzieht Ich werde veranlassen daß die böse ägyptische Schlange zu mir herkommt Osiris der große Agathos Daimon von Indien sucht für sichihn Krieg Was ist mit ihm geschehen dieser bösen ägyptischen Schlange böse Schlange von Eilbote der hier bei uns ist Wenn du eine Schlange tötest laß nicht ihren Schwanz übrig Sie sprachen Da hast du nicht recht wörtl Nicht ist das was richtig ist das was du sagst Die die zum Kämpfen bereit standen - sie machte ihre Plätze des Kämpfens zu Plätzen des Ruhens Grab vor ihr oä Sie brachten ihr Gesicht heraus aus dem Untergang indem Gemetzel in ihrem Sarpots Auge und Morden in ihrem Herzen war Ein Morden oä eines hitzigen Raubvogels unter den Vögeln war es was Sarpot die Königin des Landes der Frauen tat Sowie der Fürst die Worte hörte öffnete er seinen Mund bis zum Erdboden in einem lauten Schrei Man hat mich an meinem Lebensodem gestraft Sie richtete unter ihnen Gemetzel und Verderben an wie Wenn das Wunder die Verwunderung Verderben indem du allein heute kein Opfer hast,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Amazonen - Serpot und Petechons,Fajjum,römische Zeit,das Werk der Isis der Großen der Gottesmutter der großen Göttin Sie ist wahrhaftig mit uns Sie ist unter uns erschienen zufrieden mit ihnen war soll sein Isis die große Göttin Seid froh daß wörtl indem sie Festsetzungen machten mit den Göttern die sie mit ihnen aufstellten Der Uräus er ist wieder mit ihnen ausgestellt Weihrauch gebären ihnen Man setzte seine Säulen und seine Sistrumsgesicht zum Boden Hilf mir Isis meine Herrin große Göttin und du Osiris großer Gott Ihr seht nicht mit mir dh wie ich die das Aufschlagen des Lagers das dieses zahllose Heer macht Hilf mir o Isis du große Göttin und du Osiris großer Gott und ihr ihr großen Götter die böse Schlange von Ägypter sic - wo Seine Götter konnten ihm nicht widerstehen Ihr soll keinen bösen Blick haben im Kampfe Osiris der große Gott schöner Stier unser schöner Kampfstier Nicht wird er uns verlassen Isis die große Göttin ordnete an das Heer der Frauen Die die standen um zu kämpfen deren Kampfplätze ließ sie vor ihnen Ruheplätze sein Das Wüten eines Raubvogels unter den Vögeln war das was Sarpot unter den Assyrern tat oä Das Ermorden des Apophis war es was Sarpot tat damit ihr die Art des Glücks erkennt Das Heer der Frauen - ihr werdet ihnen bereiten oä einen bösen Tod der qualvoll ist für sie indem er wie ein brüllender Löwe war wie ein kraftstrotzender Stier Hilf mir meine Herrin Isis große Göttin Du wirst dh sollst mich vor dieser bösen ägyptischen Schlange wörtl Schlange von Ägypter retten Bei Isis der großen Göttin der Herrin des Landes der Frauen Ich bin es die sich gürten wird indem sie oä heute zum Platz des Kampfes gegen diese böse ägyptische Schlange geht Sie nahmen sich den Tod zum Freund Sie nahmen sich das Leben zum Feind Zweikampf Schön waren ihre Schläge Täuschend waren ihre Hiebe Arbeit Sie flogen zum Himmel wie die Geier Sie kamen herunter zu Boden wie Sie begannen den Angriff wie die Bes-Götter Sie machten wie der Sohn des Sobek Bei meiner Herrin und Königin Isis der Großen Gottesmutter Schicksal des Kampfes Sie war außer sich wörtl sie fand keinen Ort auf Erden an dem sie war wegen der großen Liebe die in sie eingedrungen war Sobald der Fürst Petechons seinerseits sie sah war er außer sich wörtl er fand nicht einen Ort der Erde an dem er war Verderben der bösen ägyptischen Schlange halbgedecktes Gebäude des ganzen Landes - Fest in ihm indem Göttin die Königin des ganzen Landes Sie kann nicht hinausgehen bzw pflegt nicht hinauszugehen um zu feiern halbgedecktes Gebäude - Wasser und Weihrauch zur Reinigung hinaus um zu machen Er ein Hauseinen Ort des Rufens vor den Göttern Der Fürst Petechons versank in Schlaf Er sah sich im Traum mit den Worten Du bist hier du Was für ein Gott ist in dir Was tatest du Was ist das Isis die große Göttin indem du in bist Er kennt nicht die Stunde oder ein Unbekannter Hör auf Geh zu diesem halbgedeckten Gebäude Mache Trankopfer dich behüten dich außerhalb des Unglücks sie Objekt Plural verfluchen indem er nicht zu pflegt Isis die große Göttin und Osiris der große Gott in ihm guter Fürst Inaros mein HerrVater oä legen Sowie Sarpot diese Worte hörte das große Wunder der Erde lange Zeit Sie hörte den Namen des guten Fürsten Inaros und sprach wörtl indem sie sagte Es gibt keinen Gott mehr auf demr von Ägypten dem bLandb seiner Leute Was ist denn der Nutzen eines Ausländers wenn wir in den sind Wer sterben wird Feuer - wessen Vater und Mutter sehr alt sind der sie auf ein Festungsbollwerk hinabgehen lassen das Vieh nicht dafür Sie bringen Binden Byssos Gold Salböl für den Mann der in Ägypten gestorben ist wie für einen Gott Was ist mit ihnen Wird nicht auf Erden wieviel mehr also für den guten Fürsten Inaros Wir pflegten es zu hören daß er ein Sohn des Königs des Landes Osiris Onnophris Remaacheru ist Sie Sarpot ließ Rinder Vögel erstklassige Myrrhe jeglichen wohlduftenden Weihrauch vor den Fürsten Petechons bringen Er machte ein großes Opfer Brandopfer Trankopfer indem sie die Opfer durch ihn das größte Wunder der Erde waren Lange währten ihre Segnungen des Gottesbas des Osiris Königs Inaros Sarpot sprach zu ihm Du bist für mich wie ein Gott o Ägypter Wer ist es der dich auch hierher zu uns gebracht hat um uns kein Leid anzutun und um unserer Stadt nichts Böses anzutun Sowie er Sarpot erblickte war er ganz außer sich wörtl fand er nicht den Ort auf Erden an dem er war der große Agathos Daimon von Indien um nicht zuzulassen daß sich zurückzieht Ich werde veranlassen daß die böse ägyptische Schlange zu mir herkommt Osiris der große Agathos Daimon von Indien sucht für sichihn Krieg Was ist mit ihm geschehen dieser bösen ägyptischen Schlange böse Schlange von Eilbote der hier bei uns ist Wenn du eine Schlange tötest laß nicht ihren Schwanz übrig Sie sprachen Da hast du nicht recht wörtl Nicht ist das was richtig ist das was du sagst Die die zum Kämpfen bereit standen - sie machte ihre Plätze des Kämpfens zu Plätzen des Ruhens Grab vor ihr oä Sie brachten ihr Gesicht heraus aus dem Untergang indem Gemetzel in ihrem Sarpots Auge und Morden in ihrem Herzen war Ein Morden oä eines hitzigen Raubvogels unter den Vögeln war es was Sarpot die Königin des Landes der Frauen tat Sowie der Fürst die Worte hörte öffnete er seinen Mund bis zum Erdboden in einem lauten Schrei Man hat mich an meinem Lebensodem gestraft Sie richtete unter ihnen Gemetzel und Verderben an wie Wenn das Wunder die Verwunderung Verderben indem du allein heute kein Opfer hast,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Amasis und der Schiffer,Nildelta,Hellenistische Zeit,Pharao reinigte sich dh speiste mit seinen Frauen indem kein Wein der Welt vor ihnen stand außer ägyptischem qelbi-Wein Pharao vergnügte sich mit seinen Frauen Er schlief unter einem Weinstock im Norden Sie sprachen Unser großer Herr Was für ein Elend ist es in dem sich Pharao befindet Pharao sprach Ich habe einen großen Kater Aber seht ob es unter euch jemanden gibt der eigentlich etwa daß er mir eine Geschichte erzählen kann daß ich mich daran erfreue oä Unter den Magistraten gab es einen Priester der Neith mit Namen Psammetich der sehr gelehrt war Er sprach Mein großer Herr Geschichte Eines Tages ließ Pharao ihn den Schiffer nach Daphnai gehen und am nächsten Tag zurückkehren indem er der Schiffer sehr unwillig war über den Befehl des Pharaos wörtl etwa indem ein schlimmer Sturm in sein Gesicht kam nach dem es Befehlen das Pharao tat Er empfand sehr großes Unbehagen darüber daß er sich den Befehlen die Pharao ihm erteilt hatte nicht widersetzen konnte Er reinigte sich mit seiner Frau Sie sprach zu ihm O daß er der Angesprochene heil sei --- Fluß,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Prophetischer Text aus Tebtynis,Tebtynis,200-250 n. Chr.,,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Prophetischer Text aus Tebtynis,Tebtynis,200-250 n. Chr.,,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Prophetischer Text aus Tebtynis,Tebtynis,200-250 n. Chr.,,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Bes,Tebtynis,200-225 n. Chr.,x indem sie tranken indem sie ein Fest feierten Es geschah die Vollendung des Festes des Osiris Bes veranlaßte daß man einen Vogel brachte Seine Hand ergriff Räucherwerk und Kyphi geben Opfer Sie machten ihre Eide des Bundes vor Isis der Großen die ein Mann des Kampfes machen wird Bes streckte seine Hand aus und gab sie Haryothes Er schrieb an eine geliebte Frau die man Tasis Tochter des Psintaes mit Namen nannte die eine sehr schöne Frau war Er ließ ihr eine Dotationsschrift machen Er ließ sie zu seiner Wohnung holen Er setzte sich mit ihm zum Fest sie ließen ihre Platze des Kämpfens Plätze des Liegens gegen sie sein Einige böse Pläne waren es die in das Herz von Bes kamen Es gefiel seinem Herzen sagend Nebethetepet große Göttin Das gute Vorhaben meines Herzens wird sich nähern zu um zu verhindern daß er mich sieht Sowie Tasis das erfuhr fand sie keinen Ort auf Erden an dem sie war Sie öffnete ihren Mund bis zum Boden in einem lauten Schrei indem sie wehklagte indem sie riefe indem sie über Haryothes weinte Bes sagte zu ihr Es gibt keinen Nutzen bei dem worin du bist Möge ichmit dir schlafen Sie sagte zu ihm Mein Bruder Bes wirst du mit mir schlafen können während Haryothes dein Zechkumpan tot ist Möge ein Sempriester ihm zuerst eine Bestattung machen Das worin du ihn hast ruhen lassen das was du von mir willst werde ich dort tun x Tasis ließ Haryothes auf den Boden legen und in List zu seinen Füßen ein Grab schaufeln Danach trugen Tasis runde Bes Haryothes Sie legten ihn hinab in das Grab Tasis sagte Mein Bruder Bes Ich werde in das Grab hinab gehen Ich werde ihn besser liegen lassen Tasis ging in das Grab hinab Sie legte sich auf Haryothes Sie küßte ihn Sie rief hinauf zu Bes Mögest du deine Lanze hinabgeben denn ich werde veranlassen daß Haryothes sich sein Kopf Bes ließ ihre seine Lanze hinabgegeben werden x befestigen die Lanze des Bes Bes streckte seine Hand aus In dem Augenblick hörte der Atem der Tasis auf Er erkannte daß Tasis nicht mehr lebte Er ging hinab in das Grab tot Er sagte Bei Atum dem Herrn von Heliopolis dem großen Gott meinem Gott Die vor der indem er sie sah indem sie die geliebte Frau war Er fand sie indem sie wie eine Lotusknospe auf einer Wasserfläche war ehe ihre Farbe verändert war Es geschah x daß er kam um mit ihr zu schlafen Er sah eine Frauengestalt eine mnxt-Kleid-Trägerin die oben vor dem Grab in dem sie lagen stand während sie zu ihm sagte Der Fluch des Atum deines Gottes sei auf dich geworfen Du wirst nicht aus dem Grab hinaufkommen bis du die Sache gemacht hast die für dich bestimmt ist Sowie er die Worte hörte fand er keinen Ort auf Erden an dem er war Die große Göttin Isis ließ ein Milch auf ihn kommen Er brachte Lepra In der nämlichen Stunde gab es abscheuliche Wunden vom Scheitel seines Kopfes bis zu den Nägeln seiner Füße Er kam heraus aus dem Grab in dem er mit Tasis geschlafen hatte Er wandte sein Gesicht zu dem Feld Er x fand einen Mann der wässerte Er rief ihm zu Geh weg zum Großen Sperr-Riegel von Pernefer Sage zu Psintaes Deine Tochter ist getötet Bes geht mit einem Diener nach Nubien lebt versteckt in den Wäldern der Diener muss nach einem Heilmittel suchen der nubische König erfährt von Bes besucht ihn Bes wiegelt die Nubier gegen die Ägypter dh Inaros auf Inaros kommt nach Nubien wird vom König freundlich empfangen will vermutlich Abgaben einsammeln und Tasis und Haryothes rächen weil er scheinbar von Bes Aufenthaltsort weiß Die Nubier überfallen Inaros nachts nach einem Fest aller Wahrscheinlichkeit schlagen die Ägypter zurück und besiegen die Nubier Geschichte in der Geschichte frühere Abenteuer des Inaros sprechender Esel andere Tiere etc,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Petese C8-C9,Tebtynis,75-125 n. Chr.,Pnebhetep She made sprinkling as he was going to --- temple of Pnebhetep,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Petese C2 - Krokodilgeschichte,Tebtynis,75-125 n. Chr.,great of a crocodile came before those of the river and she prayed and she wept festivals cover came before,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Prophetischer Text aus Tebtynis,Tebtynis,200-225 n. Chr.,,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_Petese C, Fragment C1",Tebtynis,römische Zeit,Die Erblindung Pharaos The blinding of Pharaoh oder auch Pheros Story übersetzt bei Herodot veranlassen daß Necho tadelt - Feuerbecken dudich selbst hätten sie dich in das Feuerbecken geworfen Sobald Pharao die Worte oä gehört hatte wurde er wütend wie das tobende Meer Er warf sie nach Er der Speer drang tief in seine Brust wörtl zwischen seine zwei Brüste Er sank zu Boden indem Amuns Lufthauch nicht mehr in seine Glieder drang während die ihn ansah Sie stieß einen markerschütternden Schrei aus Sie gab an ihr Gesicht er ihn jemals Es ging Er ließ sie in den Harim bringen ich erfreue das Herz Frauen des Harim Am nächsten Morgen ließ er der Träger fragen Er fand sie bei einem Magazin Sie zu deinem Ehemann Ich werde ihn nach Memphis bringen lassen Er der König sprach zu ihr Gib mir Gold Ich werde veranlassen daß man sich um ihn den Ermordeten kümmert und ich veranlasse daß er begraben wird und ich veranlasse daß er zu seiner Ruhestätte gelangt kam Antwort geben Pharao ließ erledigen und fliehen sein Sehvermögen heraus - nehmen indem er nicht konntewußte königlicher Palast ihnen Antwort weil alles was sie von den Schatzhäusern des Pharaos begehren Pharao daß er wieder gesund würde Er ließ sich tragen zu Der Pharao schlief in der nämlichen Nacht Er sah sich im Traum indem zu ihm gesprochen wurde Folgendermaßen Laß die Tränen einer tugendhaften Frau in deine Augen geben damit dein Sehvermögen wiederhergestellt wird Er fuhr aus seinem Traum auf indem es dies war was er sah Der Pharao ging in den königlichen Palast Er ließ viele Frauen holen die Generäle die Großen von Ägypten Man ließ sie weinen Pharao Seine Augen öffneten sich nicht Pharao ließ die vierzig Frauen die vom königlichen Harim holen eine tugendhafte Frau finden Endeletzte Man ließ sie alle weinen Pharao Er noch kränker Die vierzig Frauen die vom königlichen Harim wurden hingerichtet Der Königssohn Necho sagte tugendhafte Frau existiert in Herakleopolis es Ich feierte ein Fest mit ihr und in ihrem Namen nämliche Ruhestätte indem er sagte Vater indem er sagte zu einem Mädchen Pharao um eine andere Frau zu finden gehen Sobald diese Worte hörte sie Singular in bezug auf die sie Plural nach der Man brachte sie die Frau vor Pharao Pharao sagte zu ihr Sache Vater in Herakleopolis vor vor Pharao an seine Augen und ein Gefäß aus Gold Pharao empfing er sein sie Plural Er sah sofort dh er konnte sofort wieder sehen Pharao stimmte zu in bezug auf sie und den Königssohn Necho,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Petese C3-C7,Tebtynis,75-125 n. Chr.,Nebethetepet the goddess,Griechisch-römische Zeit
